date,city,latitude,longitude,AQI,PM2.5,PM10,NO2,SO2,CO,month,season_factor,month_num,year
2023-01-01,Delhi,28.6139,77.209,431.7,258.3,393.7,114.0,42.7,21.35,1,1.4,1,2023
2023-01-01,Mumbai,19.076,72.8777,259.2,159.4,229.5,67.0,25.0,12.49,1,1.4,1,2023
2023-01-01,Chennai,13.0827,80.2707,132.0,69.6,105.0,30.8,11.2,6.91,1,1.4,1,2023
2023-01-01,Kolkata,22.5726,88.3639,206.6,116.9,197.7,50.7,20.8,8.91,1,1.4,1,2023
2023-01-01,Bengaluru,12.9716,77.5946,123.7,74.8,102.1,32.4,11.2,5.89,1,1.4,1,2023
2023-01-01,Hyderabad,17.385,78.4867,146.9,97.4,132.1,32.5,16.3,6.12,1,1.4,1,2023
2023-01-01,Puducherry,11.9416,79.8083,109.2,55.7,87.7,28.1,12.4,5.63,1,1.4,1,2023
2023-01-01,Lucknow,26.8467,80.9462,300.5,178.8,258.6,72.2,29.1,16.08,1,1.4,1,2023
2023-01-01,Patna,25.5941,85.1376,360.1,207.2,326.7,88.5,34.7,18.62,1,1.4,1,2023
2023-01-01,Ahmedabad,23.0225,72.5714,270.4,166.9,236.6,66.4,27.7,14.5,1,1.4,1,2023
2023-01-02,Delhi,28.6139,77.209,353.7,211.3,309.5,83.6,37.0,19.04,1,1.4,1,2023
2023-01-02,Mumbai,19.076,72.8777,193.1,120.9,176.7,45.7,20.0,11.19,1,1.4,1,2023
2023-01-02,Chennai,13.0827,80.2707,125.1,82.9,91.6,34.6,12.7,5.96,1,1.4,1,2023
2023-01-02,Kolkata,22.5726,88.3639,256.6,144.0,229.2,65.6,28.6,12.31,1,1.4,1,2023
2023-01-02,Bengaluru,12.9716,77.5946,115.7,66.9,111.5,30.2,10.5,6.3,1,1.4,1,2023
2023-01-02,Hyderabad,17.385,78.4867,171.4,107.7,148.6,41.5,16.4,7.11,1,1.4,1,2023
2023-01-02,Puducherry,11.9416,79.8083,110.9,67.8,99.9,26.8,8.3,5.12,1,1.4,1,2023
2023-01-02,Lucknow,26.8467,80.9462,285.7,167.4,255.8,73.0,32.3,14.46,1,1.4,1,2023
2023-01-02,Patna,25.5941,85.1376,354.0,212.0,303.2,88.4,35.5,20.16,1,1.4,1,2023
