City,Date,AQI_avg,PM2.5,PM10,NO2,SO2,CO
Ahmedabad,2024-01-01,118.17,31.76,118.45,7.83,2.16,0.72
Ahmedabad,2024-01-02,103.46,25.44,94.65,7.81,2.61,0.49
Ahmedabad,2024-01-03,90.12,37.52,99.36,7.78,2.0,0.42
Ahmedabad,2024-01-04,106.08,47.59,119.13,7.81,2.27,0.57
Ahmedabad,2024-01-05,123.13,52.8,122.17,7.8,1.83,0.43
Ahmedabad,2024-01-06,101.5,45.9,106.29,7.79,2.78,0.58
Ahmedabad,2024-01-07,101.75,47.46,103.4,7.79,2.77,1.01
Ahmedabad,2024-01-08,101.83,56.61,100.87,7.8,3.11,1.03
Ahmedabad,2024-01-09,122.21,64.67,100.25,7.8,4.29,1.28
Ahmedabad,2024-01-10,108.57,57.42,96.19,7.78,4.28,1.38
Ahmedabad,2024-01-11,89.54,40.27,79.75,10.04,4.87,1.26
Ahmedabad,2024-01-12,87.25,46.87,91.11,12.35,5.05,1.28
Ahmedabad,2024-01-13,116.12,76.58,96.91,12.36,3.95,1.19
Ahmedabad,2024-01-14,130.13,43.59,82.2,12.36,4.2,0.92
Ahmedabad,2024-01-15,72.33,38.17,77.49,10.77,4.49,1.0
Ahmedabad,2024-01-16,96.29,47.57,99.45,10.15,4.7,1.12
Ahmedabad,2024-01-17,114.67,83.91,151.35,11.37,4.22,1.11
Ahmedabad,2024-01-18,157.92,67.68,125.72,11.36,3.56,1.15
Ahmedabad,2024-01-19,137.88,66.67,116.33,11.36,3.95,0.92
Ahmedabad,2024-01-20,124.64,60.63,97.29,11.38,3.8,0.9
Ahmedabad,2024-01-21,108.21,,91.93,11.37,5.07,1.19
Ahmedabad,2024-01-22,155.88,,105.3,11.38,5.12,1.06
Ahmedabad,2024-01-23,180.25,94.2,123.47,11.36,5.35,1.04
Ahmedabad,2024-01-24,212.33,85.65,113.1,11.38,9.56,1.09
Ahmedabad,2024-01-25,165.61,75.13,105.94,12.75,6.04,0.68
Ahmedabad,2024-01-26,146.88,60.9,85.02,14.97,8.78,0.8
Ahmedabad,2024-01-27,118.83,61.73,94.59,13.75,12.58,0.89
Ahmedabad,2024-01-28,136.71,74.73,111.71,9.86,19.02,1.27
Ahmedabad,2024-01-29,155.54,72.45,108.7,10.64,18.94,1.1
Ahmedabad,2024-01-30,134.04,66.89,113.5,12.09,18.53,0.96
Ahmedabad,2024-02-02,128.92,74.81,114.62,11.26,18.11,1.3
Ahmedabad,2024-02-03,162.42,78.92,119.06,10.98,18.67,1.1
Ahmedabad,2024-02-04,182.83,91.39,129.08,11.18,19.0,0.91
Ahmedabad,2024-02-05,122.0,49.55,68.24,13.29,17.96,0.59
Ahmedabad,2024-02-06,89.96,51.6,80.31,11.56,17.91,0.63
Ahmedabad,2024-02-07,88.5,50.53,81.55,12.68,17.96,0.48
Ahmedabad,2024-02-08,81.12,49.96,75.0,17.29,18.11,0.24
Ahmedabad,2024-02-09,104.75,55.66,82.51,17.21,18.99,0.42
Ahmedabad,2024-02-10,110.46,50.1,110.43,13.97,3.98,0.08
Ahmedabad,2024-02-11,109.92,24.44,119.91,1.51,2.89,0.01
Ahmedabad,2024-02-12,117.0,23.35,135.55,1.73,2.82,0.07
Ahmedabad,2024-02-13,133.25,35.93,151.44,1.65,2.92,0.0
Ahmedabad,2024-02-14,130.71,49.89,141.99,2.15,3.43,0.0
Ahmedabad,2024-02-15,130.64,50.73,145.2,2.77,4.91,0.0
Ahmedabad,2024-02-16,143.0,52.12,165.78,12.88,2.0,0.2
Ahmedabad,2024-02-17,142.71,45.16,150.73,13.22,2.0,0.28
Ahmedabad,2024-02-18,145.26,48.86,154.67,14.15,2.44,0.44
Ahmedabad,2024-02-19,98.08,25.81,71.8,12.79,3.9,0.06
Ahmedabad,2024-02-20,84.29,38.03,96.89,12.63,2.17,0.12
Ahmedabad,2024-02-21,94.25,30.39,81.01,12.64,1.95,0.01
Ahmedabad,2024-02-22,81.83,33.15,89.98,13.67,1.85,0.0
Ahmedabad,2024-02-23,111.29,55.11,147.43,13.14,2.04,0.22
Ahmedabad,2024-02-24,134.77,52.64,145.53,12.8,2.59,0.18
Ahmedabad,2024-02-26,119.45,50.11,139.85,14.43,2.0,0.24
Ahmedabad,2024-02-27,137.29,50.41,142.81,12.65,2.01,0.18
Ahmedabad,2024-02-28,126.96,44.08,127.15,15.45,2.0,0.23
Ahmedabad,2024-02-29,128.0,55.49,148.64,12.58,2.26,0.33
Ahmedabad,2024-03-01,153.33,88.01,151.01,14.08,4.1,0.24
Ahmedabad,2024-03-02,197.88,81.02,108.0,14.8,8.59,0.0
Ahmedabad,2024-03-03,126.83,44.09,62.98,12.76,4.98,0.0
Ahmedabad,2024-03-04,136.21,92.36,149.6,12.56,5.39,0.07
Ahmedabad,2024-03-05,192.38,84.88,145.9,12.73,5.1,0.03
Ahmedabad,2024-03-06,208.23,101.67,187.47,13.93,5.22,0.02
Ahmedabad,2024-03-08,173.24,63.68,141.63,12.6,5.41,0.37
Ahmedabad,2024-03-09,106.62,53.49,113.1,12.74,5.83,0.28
Ahmedabad,2024-03-10,114.88,60.67,129.09,12.54,5.6,0.32
Ahmedabad,2024-03-11,142.0,71.27,147.0,12.7,5.8,0.2
Ahmedabad,2024-03-12,89.0,38.12,70.81,12.59,5.0,0.19
Ahmedabad,2024-03-13,83.04,43.23,90.36,12.4,5.79,0.08
Ahmedabad,2024-03-14,100.26,67.47,135.96,12.88,5.34,0.03
Ahmedabad,2024-03-15,155.75,82.12,156.36,12.62,5.84,0.29
Ahmedabad,2024-03-16,193.58,81.9,162.27,12.73,2.11,0.64
Ahmedabad,2024-03-17,139.71,63.96,120.77,12.45,1.58,0.09
Ahmedabad,2024-03-18,87.58,38.96,80.79,12.52,1.35,0.12
Ahmedabad,2024-03-19,104.29,56.21,127.37,12.9,1.87,0.26
Ahmedabad,2024-03-20,108.33,46.65,107.43,12.66,2.13,0.22
Ahmedabad,2024-03-21,106.64,54.99,131.97,12.77,3.87,0.31
Ahmedabad,2024-03-22,130.67,47.1,119.35,12.87,8.15,0.55
Ahmedabad,2024-03-23,98.25,34.66,95.83,12.64,8.24,0.03
Ahmedabad,2024-03-24,85.88,32.75,84.16,12.63,8.19,0.35
Ahmedabad,2024-03-25,88.29,41.71,87.82,12.87,8.17,0.34
Ahmedabad,2024-03-26,86.25,47.46,91.31,12.87,7.27,0.16
Ahmedabad,2024-03-27,88.0,45.53,83.13,12.64,5.91,0.47
Ahmedabad,2024-03-28,88.63,39.44,85.02,13.03,5.81,0.23
Ahmedabad,2024-03-29,83.64,40.23,87.66,12.77,6.45,0.06
Ahmedabad,2024-03-30,79.25,34.95,70.01,12.96,5.11,0.11
Ahmedabad,2024-03-31,68.21,34.59,71.43,12.6,5.02,0.16
Ahmedabad,2024-04-01,94.21,55.98,127.52,13.0,11.64,0.22
Ahmedabad,2024-04-02,107.58,46.89,98.78,12.5,10.71,0.04
Ahmedabad,2024-04-03,88.96,34.65,73.7,12.8,10.37,0.09
Ahmedabad,2024-04-04,65.0,30.0,59.67,12.62,6.08,0.33
Ahmedabad,2024-04-06,136.0,62.03,100.12,12.8,7.31,0.0
Ahmedabad,2024-04-07,94.96,46.07,88.31,12.71,7.69,0.14
Ahmedabad,2024-04-08,108.25,61.99,130.43,12.52,6.56,0.15
Ahmedabad,2024-04-09,153.04,74.83,191.43,12.68,11.4,0.67
Ahmedabad,2024-04-10,158.92,58.48,154.02,12.89,9.77,0.1
Ahmedabad,2024-04-11,133.71,49.17,143.17,13.08,9.67,0.47
Ahmedabad,2024-04-12,145.17,25.71,106.75,13.24,12.4,5.66
Ahmedabad,2024-04-13,102.71,26.75,116.02,12.86,,
Ahmedabad,2024-04-14,112.05,32.49,112.79,12.69,,
Ahmedabad,2024-04-17,97.29,26.83,109.78,12.28,3.74,1.12
Ahmedabad,2024-04-18,110.08,26.43,102.63,12.52,3.64,0.68
Ahmedabad,2024-04-19,99.25,38.95,134.02,12.43,3.11,0.0
Ahmedabad,2024-04-20,113.04,34.15,83.43,12.25,3.79,0.0
Ahmedabad,2024-04-21,80.21,25.35,80.19,12.68,2.87,0.0
Ahmedabad,2024-04-22,77.21,29.15,79.82,13.3,4.66,0.0
Ahmedabad,2024-04-23,87.21,38.47,97.09,14.77,3.94,0.33
Ahmedabad,2024-04-24,119.71,74.69,121.11,17.13,5.05,0.45
Ahmedabad,2024-04-25,167.83,79.28,119.04,17.09,5.31,0.27
Ahmedabad,2024-04-26,146.65,68.09,97.66,17.69,4.53,0.24
Ahmedabad,2024-04-27,163.12,90.18,134.11,17.79,4.25,0.32
Ahmedabad,2024-04-28,214.04,86.83,131.05,17.13,8.91,0.33
Ahmedabad,2024-04-29,145.42,72.8,105.34,18.34,4.34,0.0
Ahmedabad,2024-05-03,126.32,68.18,146.07,16.03,8.18,0.65
Ahmedabad,2024-05-04,150.0,,160.33,15.92,5.44,0.41
Ahmedabad,2024-05-05,110.96,,88.89,15.66,2.69,0.74
Ahmedabad,2024-05-06,89.17,,98.43,15.89,2.99,0.84
Ahmedabad,2024-05-07,108.12,,123.42,15.85,1.56,0.96
Ahmedabad,2024-05-08,114.79,,111.91,19.51,5.93,0.8
Ahmedabad,2024-05-09,105.12,,112.86,29.82,13.24,0.37
Ahmedabad,2024-05-10,104.46,35.0,102.93,29.72,5.26,1.0
Ahmedabad,2024-05-11,97.0,,94.94,29.76,4.8,1.07
Ahmedabad,2024-05-12,104.79,,116.06,29.21,4.62,1.0
Ahmedabad,2024-05-13,105.43,56.15,115.74,29.53,5.69,0.69
Ahmedabad,2024-05-15,156.4,65.35,183.78,29.68,7.73,1.23
Ahmedabad,2024-05-16,137.74,53.15,134.8,28.28,5.15,0.39
Ahmedabad,2024-05-18,216.11,93.45,133.6,29.06,8.66,0.17
Ahmedabad,2024-05-19,135.68,36.41,143.31,29.71,11.1,0.0
Ahmedabad,2024-05-20,103.88,38.34,102.55,28.97,6.05,0.0
Ahmedabad,2024-05-21,128.58,76.78,121.73,29.8,6.57,0.15
Ahmedabad,2024-05-22,181.58,87.57,132.78,29.09,7.25,0.12
Ahmedabad,2024-05-23,169.04,77.73,138.41,29.24,7.45,0.0
Ahmedabad,2024-05-24,183.29,82.99,133.53,28.93,8.61,0.0
Ahmedabad,2024-05-25,130.13,59.88,111.22,29.2,6.92,0.21
Ahmedabad,2024-05-26,110.39,58.98,119.47,29.53,5.5,0.09
Ahmedabad,2024-05-27,122.62,76.87,125.54,28.78,3.27,0.0
Ahmedabad,2024-05-28,166.5,91.52,117.66,28.08,2.84,0.0
Ahmedabad,2024-05-29,224.62,90.31,98.86,29.64,3.25,0.04
Ahmedabad,2024-05-30,202.0,,,29.63,3.05,0.0
Ahmedabad,2024-06-02,86.74,26.48,79.16,30.33,4.12,0.0
Ahmedabad,2024-06-03,91.38,33.68,113.71,30.02,4.1,0.0
Ahmedabad,2024-06-04,119.83,73.12,112.36,29.61,4.93,0.0
Ahmedabad,2024-06-05,126.83,44.45,103.36,29.77,5.97,0.0
Ahmedabad,2024-06-06,98.38,41.97,98.11,29.38,6.06,0.01
Ahmedabad,2024-06-07,97.71,38.09,105.21,29.29,5.51,0.0
Ahmedabad,2024-06-08,105.46,43.8,113.83,29.46,6.82,0.0
Ahmedabad,2024-06-09,108.83,68.8,115.48,29.01,5.83,0.0
Ahmedabad,2024-06-10,134.29,70.33,87.12,28.38,3.49,0.0
Ahmedabad,2024-06-11,127.83,44.11,67.61,28.75,3.71,0.02
Ahmedabad,2024-06-12,87.14,,,27.97,3.68,0.0
Ahmedabad,2024-06-14,69.32,42.77,60.24,15.06,9.33,0.0
Ahmedabad,2024-06-15,72.92,30.17,59.73,7.2,8.94,0.0
Ahmedabad,2024-06-18,71.65,21.45,65.2,19.58,13.07,0.04
Ahmedabad,2024-06-19,61.71,20.25,58.29,11.46,11.56,0.05
Ahmedabad,2024-06-24,75.0,26.83,75.23,22.2,22.5,0.13
Ahmedabad,2024-06-25,77.1,29.0,89.0,20.0,,0.0
Ahmedabad,2024-06-27,50.13,19.84,42.51,27.1,21.82,0.0
Ahmedabad,2024-06-30,43.13,18.46,38.7,21.23,21.34,0.0
Bengaluru,2024-01-01,92.67,58.8,93.5,8.64,4.6,0.81
Bengaluru,2024-01-02,111.21,64.08,102.53,8.46,5.48,0.84
Bengaluru,2024-01-03,117.71,62.07,109.0,8.26,4.68,0.65
Bengaluru,2024-01-04,109.33,61.81,116.03,8.7,5.11,0.88
Bengaluru,2024-01-05,96.17,45.52,82.31,8.32,4.52,0.77
Bengaluru,2024-01-06,81.96,39.08,76.77,8.41,4.81,0.86
Bengaluru,2024-01-07,74.04,33.98,72.26,8.61,4.98,0.71
Bengaluru,2024-01-08,67.46,29.02,58.66,8.33,5.26,0.91
Bengaluru,2024-01-09,64.92,37.37,83.12,8.55,5.09,0.89
Bengaluru,2024-01-10,85.91,42.3,86.13,8.49,4.87,0.81
Bengaluru,2024-01-11,98.54,56.97,98.71,8.31,5.15,0.87
Bengaluru,2024-01-12,110.75,58.23,102.17,8.53,5.27,0.82
Bengaluru,2024-01-13,133.58,76.46,125.75,8.47,5.54,0.91
Bengaluru,2024-01-14,165.61,79.63,153.56,8.57,4.34,1.15
Bengaluru,2024-01-15,164.38,74.76,131.68,8.6,5.09,0.92
Bengaluru,2024-01-16,139.61,76.81,129.04,8.52,5.15,0.66
Bengaluru,2024-01-17,109.86,61.39,107.34,8.52,4.71,0.58
Bengaluru,2024-01-18,103.29,61.48,103.54,8.38,5.06,0.73
Bengaluru,2024-01-19,110.12,52.43,110.25,8.6,4.79,0.69
Bengaluru,2024-01-20,105.09,51.75,99.91,8.49,4.11,0.59
Bengaluru,2024-01-21,97.25,54.45,109.67,8.34,4.54,0.66
Bengaluru,2024-01-22,97.04,49.35,90.21,8.39,4.71,0.68
Bengaluru,2024-01-23,92.08,52.66,91.75,8.44,5.51,0.79
Bengaluru,2024-01-24,90.21,54.11,91.12,8.47,5.21,0.75
Bengaluru,2024-01-25,108.09,66.58,95.93,8.37,5.68,0.82
Bengaluru,2024-01-26,115.12,51.68,78.99,8.4,5.54,0.8
Bengaluru,2024-01-27,86.42,43.39,79.18,8.51,5.52,0.8
Bengaluru,2024-01-28,77.0,43.22,75.91,8.43,5.26,0.76
Bengaluru,2024-01-29,90.38,61.34,98.0,8.44,5.3,0.76
Bengaluru,2024-01-30,124.79,73.02,137.94,8.4,5.33,0.77
Bengaluru,2024-01-31,154.5,66.0,140.43,8.62,5.74,0.83
Bengaluru,2024-02-01,106.38,41.72,91.3,8.21,4.81,0.02
Bengaluru,2024-02-02,85.96,33.32,83.4,8.17,4.62,0.0
Bengaluru,2024-02-03,86.83,36.29,91.05,7.99,4.94,0.0
Bengaluru,2024-02-04,95.83,38.21,95.46,7.88,4.49,0.0
Bengaluru,2024-02-05,93.08,37.7,94.29,8.02,4.88,0.0
