City	Date	AQI_avg
Ahmedabad	1/1/2024	118.17
Ahmedabad	1/2/2024	103.46
Ahmedabad	1/3/2024	90.12
Ahmedabad	1/4/2024	106.08
Ahmedabad	1/5/2024	123.13
Ahmedabad	1/6/2024	101.5
Ahmedabad	1/7/2024	101.75
Ahmedabad	1/8/2024	101.83
Ahmedabad	1/9/2024	122.21
Ahmedabad	1/10/2024	108.57
Ahmedabad	1/11/2024	89.54
Ahmedabad	1/12/2024	87.25
Ahmedabad	1/13/2024	116.12
Ahmedabad	1/14/2024	130.13
Ahmedabad	1/15/2024	72.33
Ahmedabad	1/16/2024	96.29
Ahmedabad	1/17/2024	114.67
Ahmedabad	1/18/2024	157.92
Ahmedabad	1/19/2024	137.88
Ahmedabad	1/20/2024	124.64
Ahmedabad	1/21/2024	108.21
Ahmedabad	1/22/2024	155.88
Ahmedabad	1/23/2024	180.25
Ahmedabad	1/24/2024	212.33
Ahmedabad	1/25/2024	165.61
Ahmedabad	1/26/2024	146.88
Ahmedabad	1/27/2024	118.83
Ahmedabad	1/28/2024	136.71
Ahmedabad	1/29/2024	155.54
Ahmedabad	1/30/2024	134.04
Ahmedabad	1/31/2024	120.5
Ahmedabad	2/2/2024	128.92
Ahmedabad	2/3/2024	162.42
Ahmedabad	2/4/2024	182.83
Ahmedabad	2/5/2024	122
Ahmedabad	2/6/2024	89.96
Ahmedabad	2/7/2024	88.5
Ahmedabad	2/8/2024	81.12
Ahmedabad	2/9/2024	104.75
Ahmedabad	2/10/2024	110.46
Ahmedabad	2/11/2024	109.92
Ahmedabad	2/12/2024	117
Ahmedabad	2/13/2024	133.25
Ahmedabad	2/14/2024	130.71
Ahmedabad	2/15/2024	130.64
Ahmedabad	2/16/2024	143
Ahmedabad	2/17/2024	142.71
Ahmedabad	2/18/2024	145.26
Ahmedabad	2/19/2024	98.08
Ahmedabad	2/20/2024	84.29
Ahmedabad	2/21/2024	94.25
Ahmedabad	2/22/2024	81.83
Ahmedabad	2/23/2024	111.29
Ahmedabad	2/24/2024	134.77
Ahmedabad	2/26/2024	119.45
Ahmedabad	2/27/2024	137.29
Ahmedabad	2/28/2024	126.96
Ahmedabad	2/29/2024	128
Ahmedabad	3/1/2024	153.33
Ahmedabad	3/2/2024	197.88
Ahmedabad	3/3/2024	126.83
Ahmedabad	3/4/2024	136.21
Ahmedabad	3/5/2024	192.38
Ahmedabad	3/6/2024	208.23
Ahmedabad	3/8/2024	173.24
Ahmedabad	3/9/2024	106.62
Ahmedabad	3/10/2024	114.88
Ahmedabad	3/11/2024	142
Ahmedabad	3/12/2024	89
Ahmedabad	3/13/2024	83.04
Ahmedabad	3/14/2024	100.26
Ahmedabad	3/15/2024	155.75
Ahmedabad	3/16/2024	193.58
Ahmedabad	3/17/2024	139.71
Ahmedabad	3/18/2024	87.58
Ahmedabad	3/19/2024	104.29
Ahmedabad	3/20/2024	108.33
Ahmedabad	3/21/2024	106.64
Ahmedabad	3/22/2024	130.67
Ahmedabad	3/23/2024	98.25
Ahmedabad	3/24/2024	85.88
Ahmedabad	3/25/2024	88.29
Ahmedabad	3/26/2024	86.25
Ahmedabad	3/27/2024	88
Ahmedabad	3/28/2024	88.63
Ahmedabad	3/29/2024	83.64
Ahmedabad	3/30/2024	79.25
Ahmedabad	3/31/2024	68.21
Ahmedabad	4/1/2024	94.21
Ahmedabad	4/2/2024	107.58
Ahmedabad	4/3/2024	88.96
Ahmedabad	4/4/2024	65
Ahmedabad	4/6/2024	136
Ahmedabad	4/7/2024	94.96
Ahmedabad	4/8/2024	108.25
Ahmedabad	4/9/2024	153.04
Ahmedabad	4/10/2024	158.92
Ahmedabad	4/11/2024	133.71
Ahmedabad	4/12/2024	145.17
Ahmedabad	4/13/2024	102.71
Ahmedabad	4/14/2024	112.05
Ahmedabad	4/17/2024	97.29
Ahmedabad	4/18/2024	110.08
Ahmedabad	4/19/2024	99.25
Ahmedabad	4/20/2024	113.04
Ahmedabad	4/21/2024	80.21
Ahmedabad	4/22/2024	77.21
Ahmedabad	4/23/2024	87.21
Ahmedabad	4/24/2024	119.71
Ahmedabad	4/25/2024	167.83
Ahmedabad	4/26/2024	146.65
Ahmedabad	4/27/2024	163.12
Ahmedabad	4/28/2024	214.04
Ahmedabad	4/29/2024	145.42
Ahmedabad	4/30/2024	142
Ahmedabad	5/3/2024	126.32
Ahmedabad	5/4/2024	150
Ahmedabad	5/5/2024	110.96
Ahmedabad	5/6/2024	89.17
Ahmedabad	5/7/2024	108.12
Ahmedabad	5/8/2024	114.79
Ahmedabad	5/9/2024	105.12
Ahmedabad	5/10/2024	104.46
Ahmedabad	5/11/2024	97
Ahmedabad	5/12/2024	104.79
Ahmedabad	5/13/2024	105.43
Ahmedabad	5/15/2024	156.4
Ahmedabad	5/16/2024	137.74
Ahmedabad	5/18/2024	216.11
Ahmedabad	5/19/2024	135.68
Ahmedabad	5/20/2024	103.88
Ahmedabad	5/21/2024	128.58
Ahmedabad	5/22/2024	181.58
Ahmedabad	5/23/2024	169.04
Ahmedabad	5/24/2024	183.29
Ahmedabad	5/25/2024	130.13
Ahmedabad	5/26/2024	110.39
Ahmedabad	5/27/2024	122.62
Ahmedabad	5/28/2024	166.5
Ahmedabad	5/29/2024	224.62
Ahmedabad	5/30/2024	202
Ahmedabad	6/2/2024	86.74
Ahmedabad	6/3/2024	91.38
Ahmedabad	6/4/2024	119.83
Ahmedabad	6/5/2024	126.83
Ahmedabad	6/6/2024	98.38
Ahmedabad	6/7/2024	97.71
Ahmedabad	6/8/2024	105.46
Ahmedabad	6/9/2024	108.83
Ahmedabad	6/10/2024	134.29
Ahmedabad	6/11/2024	127.83
Ahmedabad	6/12/2024	87.14
Ahmedabad	6/14/2024	69.32
Ahmedabad	6/15/2024	72.92
Ahmedabad	6/16/2024	69.6
Ahmedabad	6/18/2024	71.65
Ahmedabad	6/19/2024	61.71
Ahmedabad	6/20/2024	59
Ahmedabad	6/24/2024	75
Ahmedabad	6/25/2024	77.1
Ahmedabad	6/27/2024	50.13
Ahmedabad	6/30/2024	43.13
Bengaluru	1/1/2024	92.67
Bengaluru	1/2/2024	111.21
Bengaluru	1/3/2024	117.71
Bengaluru	1/4/2024	109.33
Bengaluru	1/5/2024	96.17
Bengaluru	1/6/2024	81.96
Bengaluru	1/7/2024	74.04
Bengaluru	1/8/2024	67.46
Bengaluru	1/9/2024	64.92
Bengaluru	1/10/2024	85.91
Bengaluru	1/11/2024	98.54
Bengaluru	1/12/2024	110.75
Bengaluru	1/13/2024	133.58
Bengaluru	1/14/2024	165.61
Bengaluru	1/15/2024	164.38
Bengaluru	1/16/2024	139.61
Bengaluru	1/17/2024	109.86
Bengaluru	1/18/2024	103.29
Bengaluru	1/19/2024	110.12
Bengaluru	1/20/2024	105.09
Bengaluru	1/21/2024	97.25
Bengaluru	1/22/2024	97.04
Bengaluru	1/23/2024	92.08
Bengaluru	1/24/2024	90.21
Bengaluru	1/25/2024	108.09
Bengaluru	1/26/2024	115.12
Bengaluru	1/27/2024	86.42
Bengaluru	1/28/2024	77
Bengaluru	1/29/2024	90.38
Bengaluru	1/30/2024	124.79
Bengaluru	1/31/2024	154.5
Bengaluru	2/1/2024	106.38
Bengaluru	2/2/2024	85.96
Bengaluru	2/3/2024	86.83
Bengaluru	2/4/2024	95.83
