city,month,AQI,PM2.5,PM10,NO2,SO2,CO,NO2_sat,HCHO_sat
Ahmedabad,Apr-2024,156.18,92.14,137.53,38.6,15.64,8.01,141.3809,262.6097
Ahmedabad,Feb-2024,216.13,129.79,194.27,53.68,21.14,11.03,156.9254,188.9139
Ahmedabad,Jan-2024,208.12,124.8,188.54,52.33,20.82,9.99,185.6459,210.7094
Ahmedabad,Jun-2024,98.4,58.98,90.54,24.84,10.12,4.81,113.6219,215.373
Ahmedabad,Mar-2024,154.97,94.01,139.28,38.56,15.83,7.41,157.3374,288.2956
Ahmedabad,May-2024,167.43,100.31,152.02,42.36,16.75,8.35,130.8999,251.1548
Bengaluru,Apr-2024,93.61,55.42,84.86,22.64,9.34,4.63,120.8326,266.1984
Bengaluru,Feb-2024,139.95,84.99,124.06,35.2,14.28,6.96,120.6932,196.7082
Bengaluru,Jan-2024,145.38,87.58,130.48,35.6,14.39,7.57,104.294,185.7451
Bengaluru,Jun-2024,75.7,44.27,70.13,19.59,7.5,3.87,75.7897,177.4251
Bengaluru,Mar-2024,101.15,60.01,90.76,26.54,10.09,5.11,129.9096,302.4229
Bengaluru,May-2024,106.52,63.64,94.9,26.2,9.95,5.27,106.3271,239.0462
Chennai,Apr-2024,87.07,52.45,78.32,22.12,9.22,4.26,68.1499,145.0572
Chennai,Feb-2024,127.91,75.93,115.18,32.24,12.49,6.41,66.9254,112.3395
Chennai,Jan-2024,124.49,74.39,113.15,31.63,12.42,6.33,83.4127,91.3548
Chennai,Jun-2024,55.09,34.51,49.79,14.54,5.02,2.36,96.2735,253.269
Chennai,Mar-2024,87.95,52.25,77.58,21.78,8.89,4.15,66.1214,157.2377
Chennai,May-2024,97.3,59.04,88.41,24.12,9.55,5.09,82.9891,153.8569
Delhi,Apr-2024,252.42,151.73,226.7,62.64,25.61,12.77,177.0402,266.1585
Delhi,Feb-2024,374.04,224.5,338.19,93.7,37.34,18.37,202.1512,211.2357
Delhi,Jan-2024,396.07,237.1,357.34,99.52,39.75,19.67,350.7449,267.5586
Delhi,Jun-2024,204.77,120.71,184.76,51.12,20.63,10.26,161.1495,245.5089
Delhi,Mar-2024,285.79,171.99,260.98,72.78,28.59,14.02,176.2317,254.6284
Delhi,May-2024,263.1,157.26,236.88,66.52,26.58,13.23,195.8714,415.7415
Hyderabad,Apr-2024,134.29,80.73,122.92,33.88,12.33,7.01,115.4009,287.4915
Hyderabad,Feb-2024,167.57,99.99,151.06,40.94,16.58,8.42,108.625,211.3358
Hyderabad,Jan-2024,164.85,98.68,148.25,41.23,16.2,8.07,96.2222,201.1467
Hyderabad,Jun-2024,85.63,51.53,78.22,21.66,8.77,4.2,97.8835,221.674
Hyderabad,Mar-2024,119.91,72.29,109.86,31.4,12.6,5.82,114.0599,277.5597
Hyderabad,May-2024,122.99,74.51,109.99,30.37,12.57,6.37,122.562,273.3765
Kolkata,Apr-2024,194.67,116.92,172.26,48.62,19.34,9.57,161.1808,427.4998
Kolkata,Feb-2024,253.84,153.72,226.52,62.6,25.83,12.6,155.3282,297.0491
Kolkata,Jan-2024,244.38,145.72,222.15,61.43,25.15,11.98,136.0727,250.3721
Kolkata,Jun-2024,136.71,83.32,122.19,32.93,13.48,6.71,120.5794,325.7114
Kolkata,Mar-2024,181.79,109.87,161.72,45.61,18.11,9.2,142.969,320.2469
Kolkata,May-2024,175.46,106.25,156.71,43.85,16.97,8.89,151.6504,295.5605
Lucknow,Apr-2024,228.97,137.25,206.88,57.01,22.98,11.66,91.7805,246.7403
Lucknow,Feb-2024,316.83,190.04,283.96,78.52,31.3,15.82,91.6925,237.9975
Lucknow,Jan-2024,301.62,180.3,270.97,75.06,29.95,15.17,98.1818,218.7054
Lucknow,Jun-2024,147.31,89.01,131.87,35.76,14.76,7.41,118.2758,295.368
Lucknow,Mar-2024,209.77,126.63,187.53,51.34,21.25,10.5,91.2376,237.9273
Lucknow,May-2024,213.38,128.65,193.2,53.28,22.0,10.66,116.2346,346.5703
Mumbai,Apr-2024,130.06,76.5,118.68,31.69,12.34,6.5,117.5581,245.8646
Mumbai,Feb-2024,203.19,122.17,181.74,50.32,20.37,10.15,183.1405,261.3604
Mumbai,Jan-2024,191.99,114.47,170.02,47.87,19.55,9.76,219.5416,317.0199
Mumbai,Jun-2024,98.32,57.83,89.01,24.8,10.03,4.87,86.1777,193.364
Mumbai,Mar-2024,148.03,88.94,133.9,37.59,14.76,7.54,139.4174,295.5231
Mumbai,May-2024,146.15,87.33,131.33,35.25,13.78,7.22,105.5763,229.2863
Patna,Apr-2024,229.68,136.3,204.06,56.87,23.48,11.46,102.6815,317.5182
Patna,Feb-2024,340.41,203.86,305.96,86.54,33.94,16.9,95.8454,215.0171
Patna,Jan-2024,338.15,203.41,305.12,84.4,33.63,16.84,92.787,233.3666
Patna,Jun-2024,167.0,100.02,149.67,40.38,16.64,8.26,125.6821,338.8459
Patna,Mar-2024,216.41,129.81,194.46,53.43,22.2,10.74,97.6181,218.0791
Patna,May-2024,240.31,145.54,217.36,59.77,24.21,11.78,121.7215,362.5969
Puducherry,Apr-2024,72.32,41.48,64.9,18.3,7.59,3.73,60.0704,139.0493
Puducherry,Feb-2024,108.14,64.6,96.12,25.98,10.58,5.4,51.7892,119.7439
Puducherry,Jan-2024,101.45,60.63,90.52,24.55,10.33,5.04,43.279,104.343
Puducherry,Jun-2024,43.23,25.38,40.16,10.41,4.58,1.98,77.3992,153.8324
Puducherry,Mar-2024,77.06,47.7,68.69,19.81,7.5,3.78,52.6918,151.4836
Puducherry,May-2024,77.07,48.07,67.84,19.57,7.87,4.0,74.8003,217.3485
